image_path,label,label_code
fakedataset/isic19/images/ISIC_0062878.jpg,AK,0
fakedataset/isic19/images/ISIC_0067733.jpg,MEL,4
fakedataset/isic19/images/ISIC_0026814.jpg,NV,5
fakedataset/isic19/images/ISIC_0063805.jpg,NV,5
fakedataset/isic19/images/ISIC_0066376.jpg,MEL,4
fakedataset/isic19/images/ISIC_0029307.jpg,NV,5
fakedataset/isic19/images/ISIC_0012199_downsampled.jpg,BKL,2
fakedataset/isic19/images/ISIC_0063583.jpg,NV,5
fakedataset/isic19/images/ISIC_0030683.jpg,BKL,2
fakedataset/isic19/images/ISIC_0059806.jpg,BCC,1
fakedataset/isic19/images/ISIC_0060473.jpg,NV,5
fakedataset/isic19/images/ISIC_0032335.jpg,BKL,2
fakedataset/isic19/images/ISIC_0060467.jpg,AK,0
fakedataset/isic19/images/ISIC_0071797.jpg,MEL,4
fakedataset/isic19/images/ISIC_0073142.jpg,BKL,2
fakedataset/isic19/images/ISIC_0067679.jpg,BCC,1
fakedataset/isic19/images/ISIC_0057584.jpg,SCC,6
fakedataset/isic19/images/ISIC_0058700.jpg,NV,5
fakedataset/isic19/images/ISIC_0056517.jpg,BKL,2
fakedataset/isic19/images/ISIC_0053692.jpg,BCC,1
fakedataset/isic19/images/ISIC_0071547.jpg,NV,5
fakedataset/isic19/images/ISIC_0060304.jpg,NV,5
fakedataset/isic19/images/ISIC_0059988.jpg,BCC,1
fakedataset/isic19/images/ISIC_0013749_downsampled.jpg,NV,5
fakedataset/isic19/images/ISIC_0031604.jpg,NV,5
fakedataset/isic19/images/ISIC_0061812.jpg,MEL,4
fakedataset/isic19/images/ISIC_0026781.jpg,NV,5
fakedataset/isic19/images/ISIC_0024828.jpg,NV,5
fakedataset/isic19/images/ISIC_0016017_downsampled.jpg,NV,5
fakedataset/isic19/images/ISIC_0029883.jpg,NV,5
fakedataset/isic19/images/ISIC_0028380.jpg,NV,5
fakedataset/isic19/images/ISIC_0064161.jpg,MEL,4
fakedataset/isic19/images/ISIC_0015219_downsampled.jpg,MEL,4
fakedataset/isic19/images/ISIC_0025471.jpg,SCC,6
fakedataset/isic19/images/ISIC_0013961_downsampled.jpg,NV,5
fakedataset/isic19/images/ISIC_0070061.jpg,MEL,4
fakedataset/isic19/images/ISIC_0059395.jpg,SCC,6
fakedataset/isic19/images/ISIC_0026569.jpg,NV,5
fakedataset/isic19/images/ISIC_0072448.jpg,NV,5
fakedataset/isic19/images/ISIC_0055034.jpg,NV,5
fakedataset/isic19/images/ISIC_0065812.jpg,NV,5
fakedataset/isic19/images/ISIC_0055721.jpg,BCC,1
fakedataset/isic19/images/ISIC_0028494.jpg,NV,5
fakedataset/isic19/images/ISIC_0063331.jpg,AK,0
fakedataset/isic19/images/ISIC_0056639.jpg,NV,5
fakedataset/isic19/images/ISIC_0033880.jpg,NV,5
fakedataset/isic19/images/ISIC_0060214.jpg,BCC,1
fakedataset/isic19/images/ISIC_0064072.jpg,MEL,4
fakedataset/isic19/images/ISIC_0015961_downsampled.jpg,NV,5
fakedataset/isic19/images/ISIC_0064264.jpg,BKL,2
fakedataset/isic19/images/ISIC_0066467.jpg,BCC,1
fakedataset/isic19/images/ISIC_0056565.jpg,NV,5
fakedataset/isic19/images/ISIC_0032544.jpg,MEL,4
fakedataset/isic19/images/ISIC_0069226.jpg,NV,5
fakedataset/isic19/images/ISIC_0061646.jpg,BKL,2
fakedataset/isic19/images/ISIC_0027613.jpg,DF,3
fakedataset/isic19/images/ISIC_0028454.jpg,NV,5
fakedataset/isic19/images/ISIC_0010322.jpg,MEL,4
fakedataset/isic19/images/ISIC_0058400.jpg,BKL,2
fakedataset/isic19/images/ISIC_0062950.jpg,NV,5
fakedataset/isic19/images/ISIC_0030757.jpg,DF,3
fakedataset/isic19/images/ISIC_0031307.jpg,NV,5
fakedataset/isic19/images/ISIC_0025429.jpg,NV,5
fakedataset/isic19/images/ISIC_0032800.jpg,NV,5
fakedataset/isic19/images/ISIC_0055131.jpg,SCC,6
fakedataset/isic19/images/ISIC_0033075.jpg,NV,5
fakedataset/isic19/images/ISIC_0034054.jpg,NV,5
fakedataset/isic19/images/ISIC_0013216_downsampled.jpg,NV,5
fakedataset/isic19/images/ISIC_0009921.jpg,NV,5
fakedataset/isic19/images/ISIC_0028092.jpg,NV,5
fakedataset/isic19/images/ISIC_0071865.jpg,MEL,4
fakedataset/isic19/images/ISIC_0010257.jpg,NV,5
fakedataset/isic19/images/ISIC_0024690.jpg,NV,5
fakedataset/isic19/images/ISIC_0069747.jpg,MEL,4
fakedataset/isic19/images/ISIC_0027602.jpg,NV,5
fakedataset/isic19/images/ISIC_0060818.jpg,BCC,1
fakedataset/isic19/images/ISIC_0055861.jpg,BCC,1
fakedataset/isic19/images/ISIC_0061520.jpg,MEL,4
fakedataset/isic19/images/ISIC_0073130.jpg,AK,0
fakedataset/isic19/images/ISIC_0026858.jpg,NV,5
fakedataset/isic19/images/ISIC_0000492.jpg,NV,5
fakedataset/isic19/images/ISIC_0070565.jpg,BKL,2
fakedataset/isic19/images/ISIC_0014129_downsampled.jpg,MEL,4
fakedataset/isic19/images/ISIC_0070956.jpg,MEL,4
fakedataset/isic19/images/ISIC_0011210.jpg,MEL,4
fakedataset/isic19/images/ISIC_0031498.jpg,MEL,4
fakedataset/isic19/images/ISIC_0033264.jpg,BKL,2
fakedataset/isic19/images/ISIC_0034091.jpg,NV,5
fakedataset/isic19/images/ISIC_0000532.jpg,NV,5
fakedataset/isic19/images/ISIC_0062162.jpg,MEL,4
fakedataset/isic19/images/ISIC_0068473.jpg,NV,5
fakedataset/isic19/images/ISIC_0012484_downsampled.jpg,NV,5
fakedataset/isic19/images/ISIC_0059932.jpg,BKL,2
fakedataset/isic19/images/ISIC_0070436.jpg,BCC,1
fakedataset/isic19/images/ISIC_0060194.jpg,MEL,4
fakedataset/isic19/images/ISIC_0030210.jpg,NV,5
fakedataset/isic19/images/ISIC_0069365.jpg,MEL,4
fakedataset/isic19/images/ISIC_0029635.jpg,NV,5
fakedataset/isic19/images/ISIC_0062185.jpg,NV,5
fakedataset/isic19/images/ISIC_0013918_downsampled.jpg,BKL,2
fakedataset/isic19/images/ISIC_0072394.jpg,NV,5
fakedataset/isic19/images/ISIC_0057100.jpg,NV,5
fakedataset/isic19/images/ISIC_0009929.jpg,NV,5
fakedataset/isic19/images/ISIC_0025964.jpg,MEL,4
fakedataset/isic19/images/ISIC_0056815.jpg,NV,5
fakedataset/isic19/images/ISIC_0059703.jpg,MEL,4
fakedataset/isic19/images/ISIC_0054226.jpg,MEL,4
fakedataset/isic19/images/ISIC_0031045.jpg,NV,5
fakedataset/isic19/images/ISIC_0025742.jpg,NV,5
fakedataset/isic19/images/ISIC_0013688_downsampled.jpg,NV,5
fakedataset/isic19/images/ISIC_0058578.jpg,BCC,1
fakedataset/isic19/images/ISIC_0060795.jpg,MEL,4
fakedataset/isic19/images/ISIC_0073070.jpg,BKL,2
fakedataset/isic19/images/ISIC_0031096.jpg,NV,5
fakedataset/isic19/images/ISIC_0065570.jpg,BCC,1
fakedataset/isic19/images/ISIC_0013399_downsampled.jpg,NV,5
fakedataset/isic19/images/ISIC_0054586.jpg,NV,5
fakedataset/isic19/images/ISIC_0031450.jpg,BCC,1
fakedataset/isic19/images/ISIC_0071060.jpg,MEL,4
fakedataset/isic19/images/ISIC_0014249_downsampled.jpg,MEL,4
fakedataset/isic19/images/ISIC_0025155.jpg,MEL,4
fakedataset/isic19/images/ISIC_0058627.jpg,NV,5
fakedataset/isic19/images/ISIC_0063510.jpg,BKL,2
fakedataset/isic19/images/ISIC_0006982_downsampled.jpg,NV,5
fakedataset/isic19/images/ISIC_0029779.jpg,BCC,1
fakedataset/isic19/images/ISIC_0034264.jpg,NV,5
fakedataset/isic19/images/ISIC_0067198.jpg,BCC,1
fakedataset/isic19/images/ISIC_0069529.jpg,NV,5
fakedataset/isic19/images/ISIC_0030299.jpg,NV,5
fakedataset/isic19/images/ISIC_0030514.jpg,BCC,1
fakedataset/isic19/images/ISIC_0070469.jpg,NV,5
fakedataset/isic19/images/ISIC_0025656.jpg,BKL,2
fakedataset/isic19/images/ISIC_0053924.jpg,BCC,1
fakedataset/isic19/images/ISIC_0053930.jpg,BKL,2
fakedataset/isic19/images/ISIC_0058736.jpg,NV,5
fakedataset/isic19/images/ISIC_0013816_downsampled.jpg,NV,5
fakedataset/isic19/images/ISIC_0031796.jpg,NV,5
fakedataset/isic19/images/ISIC_0064634.jpg,NV,5
fakedataset/isic19/images/ISIC_0061758.jpg,NV,5
fakedataset/isic19/images/ISIC_0013580_downsampled.jpg,BKL,2
fakedataset/isic19/images/ISIC_0029047.jpg,NV,5
fakedataset/isic19/images/ISIC_0064621.jpg,VASC,7
fakedataset/isic19/images/ISIC_0066624.jpg,NV,5
fakedataset/isic19/images/ISIC_0063990.jpg,NV,5
fakedataset/isic19/images/ISIC_0030660.jpg,NV,5
fakedataset/isic19/images/ISIC_0028598.jpg,NV,5
fakedataset/isic19/images/ISIC_0027126.jpg,MEL,4
fakedataset/isic19/images/ISIC_0063610.jpg,BCC,1
fakedataset/isic19/images/ISIC_0028188.jpg,VASC,7
fakedataset/isic19/images/ISIC_0025447.jpg,NV,5
fakedataset/isic19/images/ISIC_0013126_downsampled.jpg,NV,5
fakedataset/isic19/images/ISIC_0067488.jpg,MEL,4
fakedataset/isic19/images/ISIC_0026944.jpg,NV,5
fakedataset/isic19/images/ISIC_0027694.jpg,NV,5
fakedataset/isic19/images/ISIC_0068632.jpg,BCC,1
fakedataset/isic19/images/ISIC_0062733.jpg,BCC,1
fakedataset/isic19/images/ISIC_0026819.jpg,NV,5
fakedataset/isic19/images/ISIC_0058337.jpg,BCC,1
fakedataset/isic19/images/ISIC_0064009.jpg,NV,5
fakedataset/isic19/images/ISIC_0067500.jpg,AK,0
fakedataset/isic19/images/ISIC_0029492.jpg,NV,5
